lib,sample_rate,dtype,duration,channels,n_samples,file_size_bytes,load_mean_ms,load_median_ms,load_std_ms,load_min_ms,load_p90_ms,save_mean_ms,save_median_ms,save_std_ms,save_min_ms,save_p90_ms,error
audio_samples,8000,i16,1.0,1,8000,16000,0.0047,0.0041,0.0036,0.0040,0.0050,0.0034,0.0028,0.0031,0.0027,0.0036,
librosa,8000,i16,1.0,1,8000,16000,0.0230,0.0208,0.0125,0.0195,0.0249,0.0184,0.0167,0.0123,0.0158,0.0183,
wave,8000,i16,1.0,1,8000,16000,0.0067,0.0059,0.0059,0.0056,0.0063,0.0071,0.0060,0.0070,0.0055,0.0066,
scipy,8000,i16,1.0,1,8000,16000,0.0087,0.0075,0.0068,0.0071,0.0085,0.0089,0.0075,0.0087,0.0071,0.0095,
torchaudio,8000,i16,1.0,1,8000,16000,0.6289,0.6016,0.0879,0.5713,0.6808,0.0336,0.0279,0.0210,0.0273,0.0434,
audio_samples,8000,i16,1.0,2,8000,32000,0.0058,0.0051,0.0048,0.0049,0.0054,0.0040,0.0036,0.0032,0.0035,0.0038,
librosa,8000,i16,1.0,2,8000,32000,0.0229,0.0209,0.0131,0.0199,0.0229,0.0194,0.0174,0.0134,0.0167,0.0187,
wave,8000,i16,1.0,2,8000,32000,0.0073,0.0065,0.0058,0.0061,0.0070,0.0074,0.0067,0.0053,0.0063,0.0071,
scipy,8000,i16,1.0,2,8000,32000,0.0099,0.0085,0.0073,0.0081,0.0105,0.0094,0.0082,0.0085,0.0078,0.0090,
torchaudio,8000,i16,1.0,2,8000,32000,1.0311,1.0246,0.0470,0.9769,1.0652,0.0368,0.0339,0.0172,0.0334,0.0362,
audio_samples,8000,i16,5.0,1,40000,80000,0.0077,0.0067,0.0065,0.0064,0.0074,0.0061,0.0055,0.0032,0.0054,0.0067,
librosa,8000,i16,5.0,1,40000,80000,0.0234,0.0215,0.0131,0.0206,0.0235,0.0213,0.0192,0.0142,0.0187,0.0213,
wave,8000,i16,5.0,1,40000,80000,0.0091,0.0081,0.0055,0.0077,0.0101,0.0099,0.0087,0.0070,0.0083,0.0107,
scipy,8000,i16,5.0,1,40000,80000,0.0119,0.0103,0.0090,0.0099,0.0127,0.0141,0.0139,0.0088,0.0100,0.0155,
torchaudio,8000,i16,5.0,1,40000,80000,1.2835,1.2417,0.1400,1.1470,1.4182,0.1321,0.0994,0.2280,0.0834,0.1031,
audio_samples,8000,i16,5.0,2,40000,160000,0.0093,0.0082,0.0065,0.0078,0.0091,0.0091,0.0083,0.0045,0.0080,0.0098,
librosa,8000,i16,5.0,2,40000,160000,0.0255,0.0227,0.0188,0.0216,0.0259,0.0239,0.0221,0.0114,0.0213,0.0248,
wave,8000,i16,5.0,2,40000,160000,0.0155,0.0143,0.0082,0.0104,0.0161,0.0124,0.0115,0.0062,0.0112,0.0121,
